"irrigationFlow","IrrFlow_km3_pgn","IrrFlow_percent_pgn","irrigationFlow_stdev","IrrFlow_mm_pgn_stdev","IrrFlow_percent_pgn_stdev"
"Ganges",343.040294879039,0.28691496875317,0.0848135729224416,28.4015009923364,0.068502976673287,0.0252202495257236
"Mekong",71.6743144734895,0.000539587528438779,0.0007457292708722,3.31247830466861,0.000290264350045958,0.000394734101858925
"Irawaddy",30.6181408249601,1.96814543840874e-06,6.42474115533769e-06,0.699269256898868,1.74156198923958e-07,5.00992408950184e-07
"Luni_ext",24.0695183367302,0.0495498712599663,0.217895072275694,5.66472934692914,0.0112131575201193,0.078988404688376
"Indus",213.012691439432,1.81600912538376,0.844539898280537,16.5829112162699,0.380615235307259,0.124148557654632
"Amu_Darya",1.01099176631212,0.0129802112342098,1.24582368431592,0.232674472453398,0.00512168244259451,0.268758391613151
"Brahmaputra",73.4785804541913,0.01264225857181,0.0167823041372396,5.27269924848569,0.00706206244756054,0.00856339199304689
"Syr_Darya",0.77268162738501,0.00505044070782695,0.620997452536829,0.729285606441258,0.00552416629336125,0.0939984441990395
"Salween",7.62423719489746,7.27827853035721e-05,0.000956790880800756,0.204607745141565,1.39095725720808e-05,0.000193927415337455
"Tarim",1.00605562659145,0.000947466303163652,0.098077377120666,0.286802665559457,0.000237165728670414,0.0260202933430049
"Ili",1.09726484918478,0.00547966186532814,0.462370307292764,0.669759150325674,0.00409889793779942,0.128327333138254
"Inner_Tibetan_Plateau",0.00192550236819286,0,NA,0.0029582080626293,0,NA
"Yangtze",223.415999954365,0.102260101520004,0.0449571851196609,12.4587712646647,0.0687580506719491,0.0292715419091431
"Inner_Tibetan_Plateau_extended",0.63826911642969,0.000639393188008785,0.112985152931136,0.216621838379544,0.000121025938450823,0.0500197076805669
"Yellow",12.8695112033355,0.00211396179910075,0.0168797112385028,5.34254258161752,0.000981554036292963,0.0039924957498986
"all_basins",1004.50401105918,2.29594364161494,0.227804388874772,40.3441647468005,0.492025879246196,0.0457629516506701
