"irrigationGross","GrossIrr_km3_pu","GrossIrr_percent_pu","irrigationGross_stdev","GrossIrr_mm_pu_stdev","GrossIrr_percent_pu_stdev"
"Ganges",521.681681932739,63.3037216210897,12.2822568227953,31.8571028750206,25.2123372819035,5.29830261388968
"Mekong",96.4802482532221,0.0862549503797004,0.0850843302911333,6.71238139242986,0.202913813655357,0.200327661036705
"Irawaddy",34.9336996130601,1.2276411040442e-09,3.46393218203347e-09,0.720584657433705,1.23200025163267e-09,3.39912616515902e-09
"Luni_ext",35.7586899567581,12.4469731380968,36.5208530695889,8.84210566504672,3.52547622052624,11.1486062173766
"Indus",273.380098032881,11.6576541564067,4.13288429567237,21.2921332350412,7.56308155933485,2.51275100724043
"Amu_Darya",1.45883840851944,0.191168855998955,13.0336352823337,0.306032470050565,0.0728975440358521,3.94053952475036
"Brahmaputra",119.993041867422,0.151472313154741,0.117649298813322,9.99625162207579,0.182134890598338,0.138055762575676
"Syr_Darya",1.0348426840422,0.18509532686379,26.2610456439115,0.792790294624575,0.0623629307273608,14.5656314652227
"Salween",7.9501370678402,1.02710199124538e-21,1.25774195320337e-20,0.210845326290095,1.61609607194567e-21,1.94916879336566e-20
"Tarim",1.20907797841654,0.00829646927392502,0.600725369216216,0.327844544628639,0.0171896729022696,1.19988305075043
"Ili",2.07280873242754,0.853802512817142,46.1925063630935,1.0831765503812,0.387834929079478,13.5399067904962
"Inner_Tibetan_Plateau",0.00335048174168036,0,NA,0.00516573239158832,0,NA
"Yangtze",345.966301157183,5.32724710049862,1.52646791567549,22.4456797748927,5.39366304226527,1.53106316748601
"Inner_Tibetan_Plateau_extended",1.07180261685896,0.435914505581935,39.8176704779765,0.352039015434213,0.291937195006901,16.7117957297355
"Yellow",14.2344445298407,0.403314139256668,3.15427738323017,5.8143872054077,0.946539922474724,7.46561466373219
"all_basins",1457.55662878962,95.0517427106051,6.47707277128446,46.6196332055978,36.2401768305268,2.43573898250406
