"snowmelt.y_mean","snowmelt.y_stdev"
"Ganges",27.0434666630324,6.3929371089354
"Mekong",11.7925175211083,1.94203183944847
"Irawaddy",2.85235858406709,0.71939542693557
"Luni_ext",0,0
"Indus",130.181664606424,20.6965243963306
"Amu_Darya",79.5963306816945,12.7662643911803
"Brahmaputra",74.587267303701,12.9204452590556
"Syr_Darya",56.7492358610168,11.6651449701346
"Salween",21.1561152854035,3.72238171624613
"Tarim",56.0919477167328,9.71841286706212
"Ili",58.8620419501316,11.7287137253702
"Inner_Tibetan_Plateau",58.414004599886,12.7139144923347
"Yangtze",72.4388083266948,9.06183941203061
"Inner_Tibetan_Plateau_extended",21.7028856744161,3.6473252302818
"Yellow",30.8676171395674,6.01766307164446
"all_basins",719.666659837846,83.044251096835
